created at,id,run id,run attempt,workflow name,name,head branch,conclusion,step,html url
"29.08.23, 14:33:16",16311787377,6013723009,1,DevExtreme Angular Tests,test,ci/generate-script,failure,Generate wrappers,https://github.com/DevExpress/DevExtreme/actions/runs/6013723009/job/16311787377
"29.08.23, 13:55:54",16310329765,6013253325,1,DevExtreme Angular Tests,test,ci/generate-script,failure,Run tests,https://github.com/DevExpress/DevExtreme/actions/runs/6013253325/job/16310329765
"29.08.23, 13:55:47",16310325608,6013252169,1,DevExtreme Angular Tests,test,23_2_tabpanel_icon_position,failure,Build devextreme package,https://github.com/DevExpress/DevExtreme/actions/runs/6013252169/job/16310325608
"29.08.23, 13:25:47",16309242827,6012921926,1,DevExtreme Angular Tests,test,23_2_dialog_title,failure,Run tests,https://github.com/DevExpress/DevExtreme/actions/runs/6012921926/job/16309242827
"29.08.23, 11:47:47",16305909369,6011807145,1,DevExtreme Angular Tests,test,ci/generate-script,failure,Run tests,https://github.com/DevExpress/DevExtreme/actions/runs/6011807145/job/16305909369
"29.08.23, 09:21:29",16301670058,6010377912,1,DevExtreme Angular Tests,test,ci/generate-script,failure,Run tests,https://github.com/DevExpress/DevExtreme/actions/runs/6010377912/job/16301670058
"29.08.23, 10:45:22",16304180351,6010377912,2,DevExtreme Angular Tests,test,ci/generate-script,failure,Run tests,https://github.com/DevExpress/DevExtreme/actions/runs/6010377912/job/16304180351
"29.08.23, 09:17:12",16301535316,6010330890,1,DevExtreme Angular Tests,test,ci/generate-script,failure,Run tests,https://github.com/DevExpress/DevExtreme/actions/runs/6010330890/job/16301535316
"29.08.23, 16:47:49",16316508909,6015110418,1,DevExtreme package tests,Demos visual tests jquery(3/4),23_2_addUrlForMenuFix,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6015110418/job/16316508909
"29.08.23, 17:54:18",16318459076,6015110418,2,DevExtreme package tests,Demos visual tests jquery(3/4),23_2_addUrlForMenuFix,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6015110418/job/16318459076
"29.08.23, 16:31:29",16316005005,6015013194,1,DevExtreme package tests,build,23_2_addUrlForMenuFix,cancelled,Build devextreme repo,https://github.com/DevExpress/DevExtreme/actions/runs/6015013194/job/16316005005
"29.08.23, 16:40:44",16316298451,6015013194,1,DevExtreme package tests,Angular wrapper tests,23_2_addUrlForMenuFix,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/6015013194/job/16316298451
"29.08.23, 16:40:45",16316298779,6015013194,1,DevExtreme package tests,Bundlers tests,23_2_addUrlForMenuFix,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/6015013194/job/16316298779
"29.08.23, 16:40:46",16316299101,6015013194,1,DevExtreme package tests,Demos visual tests ${{ matrix.CONSTEL }},23_2_addUrlForMenuFix,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/6015013194/job/16316299101
"29.08.23, 16:40:46",16316299438,6015013194,1,DevExtreme package tests,Send notifications,23_2_addUrlForMenuFix,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/6015013194/job/16316299438
"29.08.23, 16:02:41",16315065907,6014652044,1,DevExtreme package tests,Bundlers tests,no-excessive-onrendered-on-remount,cancelled,Build parcel,https://github.com/DevExpress/DevExtreme/actions/runs/6014652044/job/16315065907
"29.08.23, 16:02:42",16315066181,6014652044,1,DevExtreme package tests,Demos visual tests jquery(1/4),no-excessive-onrendered-on-remount,cancelled,Install devextreme package,https://github.com/DevExpress/DevExtreme/actions/runs/6014652044/job/16315066181
