date;workflow name;job name;main success runs;main failure runs;main cancelled runs;main skipped runs;main retries;main min duration;main avg duration;main max duration;pr success runs;pr failure runs;pr cancelled runs;pr skipped runs;pr retries;pr min duration;pr avg duration;pr max duration
2023-08-02;Send dependabot new vulnerability alerts;Fetch analysis;1;0;0;0;0;0,00001157407407;0,00001157407407;0,00001157407407;0;0;0;0;0;0;0;0
2023-08-02;Send dependabot new vulnerability alerts;Send notifications;0;1;0;0;0;0,00006944444444;0,00006944444444;0,00006944444444;0;0;0;0;0;0;0;0
2023-08-02;Code generation trigger;trigger;12;0;0;0;0;0,00001157407407;0,00002700617284;0,0000462962963;0;0;0;0;0;0;0;0
2023-08-02;CodeQL;Analyze (22_1, csharp);1;0;0;0;0;0,002662037037;0,002662037037;0,002662037037;0;0;0;0;0;0;0;0
2023-08-02;CodeQL;Analyze (22_1, javascript);1;0;0;0;0;0,0109837963;0,0109837963;0,0109837963;0;0;0;0;0;0;0;0
2023-08-02;CodeQL;Analyze (22_2, csharp);1;0;0;0;0;0,003101851852;0,003101851852;0,003101851852;0;0;0;0;0;0;0;0
2023-08-02;CodeQL;Analyze (22_2, javascript);1;0;0;0;0;0,01105324074;0,01105324074;0,01105324074;0;0;0;0;0;0;0;0
2023-08-02;CodeQL;Analyze (23_1, csharp);1;0;0;0;0;0,002662037037;0,002662037037;0,002662037037;0;0;0;0;0;0;0;0
2023-08-02;CodeQL;Analyze (23_1, javascript);1;0;0;0;0;0,01569444444;0,01569444444;0,01569444444;0;0;0;0;0;0;0;0
2023-08-02;CodeQL;Analyze (23_2, csharp);1;0;0;0;0;0,003310185185;0,003310185185;0,003310185185;0;0;0;0;0;0;0;0
2023-08-02;CodeQL;Analyze (23_2, javascript);1;0;0;0;0;0,01413194444;0,01413194444;0,01413194444;0;0;0;0;0;0;0;0
2023-08-02;CodeQL;Fetch analysis;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-08-02;CodeQL;Send notifications;1;0;0;0;0;0,00002314814815;0,00002314814815;0,00002314814815;0;0;0;0;0;0;0;0
2023-08-02;DevExtreme package tests;build;15;0;0;0;0;0,003842592593;0,005031635802;0,0075;48;0;3;0;10;0,0002199074074;0,002990876906;0,007511574074
2023-08-02;DevExtreme package tests;Angular wrapper tests;15;0;0;0;0;0,003043981481;0,004384259259;0,007233796296;45;1;5;0;10;0;0,00411605846;0,007175925926
2023-08-02;DevExtreme package tests;Bundlers tests;15;0;0;0;0;0,001469907407;0,002010802469;0,002893518519;47;0;4;0;10;0;0,001877723312;0,002789351852
2023-08-02;DevExtreme package tests;Demos visual tests jquery(1/4);12;3;0;0;0;0,004236111111;0,006316358025;0,008148148148;24;20;4;0;10;0;0,006377314815;0,01086805556
2023-08-02;DevExtreme package tests;Demos visual tests jquery(2/4);15;0;0;0;0;0,003935185185;0,006566358025;0,008935185185;38;6;4;0;10;0;0,006009114583;0,01402777778
2023-08-02;DevExtreme package tests;Demos visual tests jquery(3/4);15;0;0;0;0;0,00412037037;0,007097222222;0,01105324074;34;6;8;0;10;0;0,008396267361;0,01402777778
2023-08-02;DevExtreme package tests;Demos visual tests jquery(4/4);15;0;0;0;0;0,004930555556;0,006483024691;0,009618055556;36;8;4;0;10;0;0,00618441358;0,009490740741
2023-08-02;DevExtreme package tests;Send notifications;3;0;0;12;0;0,0001041666667;0,00002546296296;0,000150462963;23;0;10;18;10;0;0,00005196986202;0,0001736111111
2023-08-02;DevExtreme package tests;Demos visual tests ${{ matrix.CONSTEL }};0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
2023-08-03;DevExtreme package tests;build;0;0;0;0;0;0;0;0;1;0;0;0;1;0,006875;0,006875;0,006875
2023-08-03;DevExtreme package tests;Demos visual tests jquery(1/4);0;0;0;0;0;0;0;0;1;0;0;0;1;0,007662037037;0,007662037037;0,007662037037
2023-08-03;DevExtreme package tests;Demos visual tests jquery(2/4);0;0;0;0;0;0;0;0;1;0;0;0;1;0,004583333333;0,004583333333;0,004583333333
2023-08-03;DevExtreme package tests;Demos visual tests jquery(3/4);0;0;0;0;0;0;0;0;1;0;0;0;1;0,006006944444;0,006006944444;0,006006944444
2023-08-03;DevExtreme package tests;Demos visual tests jquery(4/4);0;0;0;0;0;0;0;0;1;0;0;0;1;0,005208333333;0,005208333333;0,005208333333
2023-08-03;DevExtreme package tests;Bundlers tests;0;0;0;0;0;0;0;0;1;0;0;0;1;0,002789351852;0,002789351852;0,002789351852
2023-08-03;DevExtreme package tests;Angular wrapper tests;0;0;0;0;0;0;0;0;1;0;0;0;1;0,004108796296;0,004108796296;0,004108796296
2023-08-03;DevExtreme package tests;Send notifications;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
2023-08-02;Lint;Renovation;15;0;0;0;0;0,001238425926;0,001555555556;0,002291666667;37;2;1;0;0;0,0003587962963;0,001480902778;0,002418981481
2023-08-02;Lint;CSS;15;0;0;0;0;0,0005092592593;0,0007067901235;0,001122685185;38;1;1;0;0;0,0003472222222;0,00071875;0,00119212963
2023-08-02;Lint;JS;15;0;0;0;0;0,005347222222;0,0100162037;0,01790509259;36;0;4;0;0;0,0003703703704;0,007113136574;0,01555555556
2023-08-02;Lint;package_lock;15;0;0;0;0;0,0004861111111;0,0007515432099;0,001134259259;39;0;1;0;0;0,000474537037;0,0007439236111;0,00119212963
2023-08-02;Lint;package_lock_npm_6;6;0;0;0;0;0,002303240741;0,002646604938;0,0040625;6;0;0;0;0;0,002303240741;0,002391975309;0,00255787037
2023-08-02;Lint;texts;15;0;0;0;0;0,0003703703704;0,0005393518519;0,0009143518519;39;0;1;0;0;0,0003125;0,000619212963;0,001018518519
2023-08-02;Lint;TS;15;0;0;0;0;0,007395833333;0,01322916667;0,02350694444;32;4;4;0;0;0,0003587962963;0,00922974537;0,01496527778
2023-08-02;Lint;Send notifications;0;0;0;15;0;0;0;0;7;0;3;30;0;0;0,0000162037037;0,0001273148148
2023-08-02;Lint;component_exports;12;0;0;0;0;0,0005092592593;0,0007330246914;0,001053240741;36;0;1;0;0;0,0003240740741;0,0006931931932;0,001087962963
2023-08-02;Additional QUnit;Build;15;0;0;0;0;0,00224537037;0,003365740741;0,005208333333;40;0;2;0;2;0,0003009259259;0,003475804674;0,005185185185
2023-08-02;Additional QUnit;Performance;15;0;0;0;0;0,00119212963;0,00163117284;0,002337962963;39;0;3;0;2;0;0,001662533069;0,007303240741
2023-08-02;Additional QUnit;export-firefox;15;0;0;0;0;0,002280092593;0,003387345679;0,005231481481;39;0;1;0;2;0,002233796296;0,003283854167;0,005324074074
2023-08-02;Additional QUnit;misc-firefox;15;0;0;0;0;0,002685185185;0,003970679012;0,006469907407;37;0;3;0;2;0,002222222222;0,003831886574;0,01054398148
2023-08-02;Additional QUnit;ui-firefox;15;0;0;0;0;0,001944444444;0,002833333333;0,004618055556;38;0;2;0;2;0,001909722222;0,002787326389;0,01053240741
