date;workflow name;job name;main success runs;main failure runs;main cancelled runs;main skipped runs;main retries;main min duration;main avg duration;main max duration;pr success runs;pr failure runs;pr cancelled runs;pr skipped runs;pr retries;pr min duration;pr avg duration;pr max duration
2023-08-19;CodeQL;Analyze (javascript);1;0;0;0;0;0,005208333333;0,005208333333;0,005208333333;0;0;0;0;0;0;0;0
2023-08-19;Visual Tests;Build DevExtreme;24;0;0;0;0;0,006423611111;0,007790316358;0,009930555556;0;0;0;0;0;0;0;0
2023-08-19;Visual Tests;jquery(1/4)-screenshots;24;0;0;0;0;0,004050925926;0,004959008488;0,006643518519;0;0;0;0;0;0;0;0
2023-08-19;Visual Tests;jquery(2/4)-screenshots;24;0;0;0;0;0,004340277778;0,005425347222;0,007071759259;0;0;0;0;0;0;0;0
2023-08-19;Visual Tests;jquery(3/4)-screenshots;20;4;0;0;0;0,007256944444;0,009961419753;0,0140625;0;0;0;0;0;0;0;0
2023-08-19;Visual Tests;jquery(4/4)-screenshots;24;0;0;0;0;0,004583333333;0,005640914352;0,007071759259;0;0;0;0;0;0;0;0
2023-08-19;Visual Tests;jquery(1/4)-accessibility;24;0;0;0;0;0,003819444444;0,004760320216;0,006030092593;0;0;0;0;0;0;0;0
2023-08-19;Visual Tests;jquery(2/4)-accessibility;24;0;0;0;0;0,003865740741;0,00459683642;0,006006944444;0;0;0;0;0;0;0;0
2023-08-19;Visual Tests;jquery(3/4)-accessibility;24;0;0;0;0;0,006631944444;0,009545717593;0,01358796296;0;0;0;0;0;0;0;0
2023-08-19;Visual Tests;jquery(4/4)-accessibility;24;0;0;0;0;0,004016203704;0,004921392747;0,006226851852;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;Build DevExtreme;12;0;0;0;0;0,00505787037;0,00587191358;0,007152777778;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;Build React;12;0;0;0;0;0,0015625;0,001847993827;0,002280092593;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;Build Angular;12;0;0;0;0;0,002071759259;0,002427662037;0,002777777778;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;Build Documentation Metadata;12;0;0;0;0;0,005925925926;0,006948302469;0,008530092593;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;Build Vue;12;0;0;0;0;0,002361111111;0,002747878086;0,003287037037;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;Build Demos;12;0;0;0;0;0,003506944444;0,004431905864;0,005532407407;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;Lint code base;12;0;0;0;0;0,003472222222;0,004147376543;0,005127314815;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;react(1/4);12;0;0;0;0;0,008842592593;0,01068962191;0,01275462963;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;react(2/4);12;0;0;0;0;0,008078703704;0,009916087963;0,01209490741;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;react(3/4);12;0;0;0;0;0,00818287037;0,0103279321;0,01130787037;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;react(4/4);12;0;0;0;0;0,01296296296;0,01629147377;0,02065972222;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;vue(1/4);8;4;0;0;0;0,01743055556;0,02350887346;0,03019675926;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;vue(2/4);11;1;0;0;0;0,0137962963;0,01784143519;0,02092592593;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;vue(3/4);12;0;0;0;0;0,01219907407;0,01485339506;0,018125;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;vue(4/4);12;0;0;0;0;0,01356481481;0,01631944444;0,02111111111;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;angular(1/4);10;2;0;0;0;0,01208333333;0,01686535494;0,0418287037;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;angular(2/4);5;7;0;0;0;0,01877314815;0,0229378858;0,02799768519;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;angular(3/4);8;4;0;0;0;0,01277777778;0,01554301698;0,01912037037;0;0;0;0;0;0;0;0
2023-08-19;Frameworks;angular(4/4);12;0;0;0;0;0,01119212963;0,01400462963;0,01815972222;0;0;0;0;0;0;0;0
